Unnamed: 0,body,generated,score
0,ศูนย์ข่าวภาคเหนือ -12 เม.ย.2548ตำรวจท่องเที่ยวเชียงใหม่พาอาสาสมัครชาวต่างชาติออกบริการนักท่องเที่ยว ลบภาพข่าวผู้ก่อการร้ายหลบหนีเข้าเชียงใหม่ พ.ต.ท.ณัฐวุฒิ โชติกาญจนวัฒน์ ผู้กำกับการสถานีตำรวจท่องเที่ยว จ.เชียงใหม่ ได้นำทีมตำรวจท่องเที่ยวและอาสาสมัครชาวต่างประเทศ ออกให้บริการแก่นักท่องเที่ยวชาวไทยและชาวต่างประเทศที่เดินทางมาร่วมงานสงกรานต์เชียงใหม่ในปีนี้ รวมทั้งได้หามาตรการในการักษาความปลอดภัยในชีวิตและทรัพย์สิน โดยได้จัดเจ้าหน้าที่ตำรวจ ออกปฏิบัติหน้าที่เพื่อป้องกันการก่ออาชญากรรม และการก่อความเดือดร้อนรำคาญที่เกิดขึ้นกับนักท่องเที่ยวในย่านประตูท่าแพ และจุดต่างๆ รอบๆ คูเมืองเชียงใหม่ พ.ต.ท.ณัฐวุฒิ กล่าวว่า กรณีที่มีหลายประเทศได้ปล่อยข่าวออกมาว่า เชียงใหม่ไม่มีความปลอดภัย มีผู้ก่อการร้ายหลบเข้ามาอยู่ในเขตพื้นที่เชียงใหม่ ซึ่งเมื่อได้ทำการตรวจสอบแล้ว พบว่าข่าวดังกล่าวไม่เป็นความจริง ดังนั้น จึงขอให้ทุกคนมั่นใจได้ว่า การท่องเที่ยวในเชียงใหม่ มีความปลอดภัย ไม่เกิดเหตุร้ายอย่างแน่นอน ,ศูนย์ข่าวภาคเหนือ -12 เมษายน 2548 ตำรวจท่องเที่ยวเชียงใหม่ได้นำอาสาสมัครชาวต่างชาติออกบริการนักท่องเที่ยว เพื่อแก้ไขภาพลักษณ์ที่ไม่ดีเกี่ยวกับการหลบหนีของผู้ก่อการร้ายเข้าเชียงใหม่ พ.ต.ท.ณัฐวุฒิ โชติกาญจนวัฒน์ ผู้กำกับการสถานีตำรวจท่องเที่ยว จ.เชียงใหม่ ได้นำทีมตำรวจท่องเที่ยวและอาสาสมัครชาวต่างประเทศออกให้บริการแก่นักท่องเที่ยวชาวไทยและชาวต่างประเทศที่มาร่วมงานสงกรานต์เชียงใหม่ในปีนี้ นอกจากนี้ยังมีมาตรการรักษาความปลอดภัยในชีวิตและทรัพย์สิน โดยมีการจัดเจ้าหน้าที่ตำรวจออกปฏิบัติหน้าที่เพื่อป้องกันการก่ออาชญากรรมและการก่อความเดือดร้อนรำคาญที่เกิดขึ้นกับนักท่องเที่ยวในย่านประตูท่าแพและจุดต่างๆ รอบๆ คูเมืองเชียงใหม่ พ.ต.ท.ณัฐวุฒิ กล่าวว่า กรณีที่มีหลายประเทศได้ปล่อยข่าวออกมาว่า เชียงใหม่ไม่มีความปลอดภัย มีผู้ก่อการร้ายหลบเข้ามาอยู่ในเขตพื้นที่เชียงใหม่ ซึ่งเมื่อได้ทำการตรวจสอบแล้ว พบว่าข่าวดังกล่าวไม่เป็นความจริง ดังนั้น จึงขอให้ทุกคนมั่นใจได้ว่า การท่องเที่ยวในเชียงใหม่ มีความปลอดภัย ไม่เกิดเหตุร้ายอย่างแน่นอน,1.0
1,ไม่น่าเชื่อ เชื้อโควิด 19 ระบาดใหญ่ทั่วโลก ผ่านมา 3 เดือนกว่า ยอดสะสมผู้ติดเชื้อทั่วโลกพุ่งไม่หยุด แตะหลัก 2 ล้านแล้ว ขณะที่ผู้เสียชีวิตเกิน 1.2 แสนเมื่อ 14 เมษายน 63 เว็บไซต์เซาท์ ไชน่ามอร์นิงโพสต์ รายงานวิกฤติเชื้อไวรัสโคโรนาสายพันธุ์ใหม่ หรือโควิด-19 ระบาดใหญ่ทั่วโลก ส่งผลให้ยอดสะสมผู้ติดเชื้อโควิด-19 พุ่งทะยานเกือบถึง 2 ล้านรายแล้ว ตรงตามการคาดการณ์ของมหาวิทยาลัยจอห์น ฮอปกินส์ในสหรัฐฯ ที่ระบุก่อนหน้านี้แล้วว่าจะมีผู้ติดเชื้อโควิด-19 ทั่วโลกเกินถึงสองล้านรายจากการติดตามจำนวนผู้ติดเชื้อโควิด-19ทั่วโลกของมหาวิทยาลัยจอห์น ฮอปกินส์ พบว่าตั้งแต่วันที่ 2 เมษายน ที่ผ่านมา จำนวนผู้ติดเชื้อโควิด-19 ได้เพิ่มขึ้นถึงวันละสองเท่า จนกระทั่งถึงวันที่ 14 เมษายน ยอดสะสมผู้ติดเชื้อ 102108 ศพสหรัฐอเมริกา เป็นประเทศที่พบผู้ติดเชื้อโควิด-19 มากที่สุดอันดับหนึ่งของโลก คิดเป็น 33% ของจำนวนผู้ติดเชื้อทั้งหมดทั่วโลก โดยขณะนี้ยอดสะสมผู้ติดเชื้อในสหรัฐ อยู่ที่582594 ราย เสียชีวิต 23649 ศพ ตามด้วยสเปน อิตาลี และจีน ส่วนเยอรมนี ครองอันดับ 5 ยืนยันมีผู้ติดเชื้อโควิดกว่า 130000 ราย,สรุปข้อความ: เชื้อโควิด-19 ระบาดใหญ่ทั่วโลก ผ่านมา 3 เดือนกว่า ยอดสะสมผู้ติดเชื้อทั่วโลกพุ่งไม่หยุด แตะหลัก 2 ล้านแล้ว ขณะที่ผู้เสียชีวิตเกิน 1.2 แสนเมื่อ 14 เมษายน 63,0.4
2,"http://www.mcu.ac.th/,เมื่อวันที่ 10 พ.ค. ที่อาคาร มวก. 48 พรรษา มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย (มจร.) อ.วังน้อย จ.พระนครศรีอยุธยา มีพิธีเปิดการประสาทปริญญาบัตรประจำปี 2561 โดยมีพระธรรมปัญญาบดี นายกสภามหาวิทยาลัย เป็นประธานในพิธี ทั้งนี้ พระพรหมบัณฑิต อธิการบดี มจร. กล่าวว่า มจร. จัดพิธีประสาทปริญญาพุทธศาสตรบัณฑิต ประจำปี 2561 ระหว่างวันที่ 12-13 พ.ค. โดยปีนี้มีบัณฑิตสำเร็จการศึกษาทุกระดับซึ่งมีบรรพชิตที่สำเร็จการศึกษาเป็นจำนวนมากที่สุดในโลกรวมทั้งสิ้น 2,706 รูป และคฤหัสถ์ 2,215 คน รวมทั้งหมด 4,921 รูป/คน โดยจะมีพิธีดังกล่าวที่หอประชุม มวก. 48 พรรษา มจร. อ.วังน้อย จ.พระนครศรีอยุธยา ซึ่งสมเด็จพระอริยวงศาคตญาณ สมเด็จพระสังฆราช สกลมหาสังฆปริณายก (อัมพร อัมพโร) เสด็จประทานปริญญาบัตรในพิธีประสาทปริญญาบัตรทั้งสองวัน,พระพรหมบัณฑิตกล่าวต่อไปว่า นอกจากนี้ จะมีนักศึกษาที่จบการศึกษาจากสถาบันสมทบของ มจร.ในต่างประเทศเข้าร่วมรับปริญญาบัตรด้วย ทั้งนี้ มจร.ถือเป็นมหาวิทยาลัยสงฆ์ที่ใหญ่ที่สุดในโลกมีพระสงฆ์นานาชาติมาศึกษาทั้งในระดับปริญญาตรี-โท-เอก ทั้งหลักสูตรอินเตอร์ และหลักสูตรภาษาไทย มากเป็นอันดับที่ 1 ของโลก.","มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย (มจร.) จัดพิธีประสาทปริญญาบัตรประจำปี 2561 โดยมีพระธรรมปัญญาบดี นายกสภามหาวิทยาลัย เป็นประธานในพิธี ในปีนี้มีบัณฑิตสำเร็จการศึกษาทุกระดับ รวมทั้งสิ้น 4,921 รูป/คน โดยจะมีพิธีที่หอประชุม มวก. 48 พรรษา มจร. อ.วังน้อย จ.พระนครศรีอยุธยา ซึ่งสมเด็จพระอริยวงศาคตญาณ สมเด็จพระสังฆราช สกลมหาสังฆปริณายก (อัมพร อัมพโร) เสด็จประทานปริญญาบัตรในพิธีประสาทปริญญาบัตรทั้งสองวัน นอกจากนี้ จะมีนักศึกษาที่จบการศึกษาจากสถาบันสมทบของ มจร.ในต่างประเทศเข้าร่วมรับปริญญาบัตรด้วย มจร.ถือเป็นมหาวิทยาลัยสงฆ์ที่ใหญ่ที่สุดในโลก มีพระสงฆ์นานาชาติมาศึกษาทั้งในระดับปริญญาตรี-โท-เอก ทั้งหลักสูตรอินเตอร์ และหลักสูตรภาษาไทย มากเป็นอันดับที่ 1 ของโลก",0.9
3,บริษัทเทคโนโลยีหลายแห่งในสหรัฐอเมริกา ทวิตเตอร์ เฟซบุ๊ก แจกเงินพนักงานคนละ 1000 ดอลลาร์ หรือประมาณ 30000 บาท ในช่วงที่ต้องล็อกดาวน์ทำงานที่บ้าน (Work from Home)ทวิตเตอร์ ไม่ใช่แค่ประกาศอนุญาตให้พนักงานเลือกจะทำงานที่บ้านได้ตลอดไป แม้ว่าโควิด-19 หมดไป แต่ยังแถมให้เงินเพิ่มอีกคนละ 1000 ดอลลาร์สหรัฐฯ และยังไม่เปิดออฟฟิศให้พนักงานเข้ามาทำงานก่อนเดือนกันยายนนี้ ส่วนผู้ที่มีตำแหน่งหน้าที่ต้องมาทำงานที่ออฟฟิศ ก็ยังต้องมาการตัดสินให้เลือกทำงานที่บ้านได้ตลอดไป เพราะการล็อกดาวน์ พนักงานต้องทำงานที่บ้าน ตั้งแต่เดือนมีนาคมที่ผ่านมา พิสูจน์ให้เห็นแล้วว่าทำงานได้ผลก่อนหน้านี้เฟซบุ๊ก และกูเกิล เพิ่งจะประกาศให้พนักงานทำงานที่บ้านจนถึงสิ้นปีนี้ โดยเฟซบุ๊กก็ให้เงินพนักงานเพิ่มอีกคนละ 1000 ดอลลาร์เช่นกัน โดยเฟซบุ๊กมีพนักงานอยู่ประมาณ 45000 คนนอกจากเฟซบุ๊ก ทวิตเตอร์แล้ว ยังมีบริษัทอื่นที่ให้เงินพนักงานเพิ่มเมื่อต้องทำงานที่บ้าน เช่น Shopify ขายสินค้าออนไลน์ ที่ให้พนักงานคนละ 1000 ดอลลาร์ ไปซื้ออุปกรณ์สำนักงานมาใช้ที่บ้าน รวมไปถึงโต๊ะ เก้าอี้ให้นั่งทำงานได้สะดวกมากขึ้น,บริษัทเทคโนโลยีในสหรัฐอเมริกา เช่น ทวิตเตอร์ เฟซบุ๊ก และกูเกิล ได้ให้เงินพนักงานคนละ 1000 ดอลลาร์ เพื่อสนับสนุนการทำงานที่บ้านในช่วงที่มีการล็อกดาวน์ โดยทวิตเตอร์ได้ประกาศให้พนักงานสามารถทำงานที่บ้านได้ตลอดไป แม้ว่าโควิด-19 จะหมดไปแล้ว และยังไม่เปิดออฟฟิศให้พนักงานเข้ามาทำงานก่อนเดือนกันยายนนี้ นอกจากนี้ บริษัทอื่น ๆ เช่น Shopify ก็ได้ให้เงินพนักงานเพิ่มเพื่อซื้ออุปกรณ์สำนักงานที่จำเป็นในการทำงานที่บ้าน,0.6
4,3 สาววัยรุ่นชวนกันมากระโดดแม่น้ำเจ้าพระยา โดยกระโดดลงจากสะพานพระราม 8 ฝั่งธนบุรี ช่วยได้ทัน 1 คน อีกคนนำขึ้นมาได้แต่เสียชีวิตแล้ว ส่วนอีก 1 คน จมหายไป ยังไม่ทราบสาเหตุ เบื้องต้นยืนยันไม่เกี่ยวกับโรคระบาดวันที่ 4 เม.ย. ผู้สื่อข่าวรายงานว่า ทางเจ้าหน้าที่ตำรวจ สน.บวรมงคล รับแจ้งเหตุมีประชาชนกระโดดสะพาน บริเวณกลางสะพานพระราม 8 ฝั่งธนบุรี แขวงบางยี่ขัน เขตบางพลัด กรุงเทพฯจากการตรวจสอบเบื้องต้นพบเป็นเพศหญิง 3 ราย ทางเจ้าหน้าที่ได้ทำการช่วยเหลือขึ้นมาได้แล้ว 1 ราย เสียชีวิต 1 และสูญหายอีก 1 รายทั้งนี้ จากการสอบถาม นางสาว กิ๊บ (นามสมมติ) หนึ่งในสาม ที่กระโดดน้ำ ยืนยันว่าตนเองกับเพื่อนอีก 2 คน ได้ชักชวนกันมากระโดดสะพาน เพราะมีปัญหาทางครอบครัว เบื้องต้นขณะเจ้าหน้าที่มูลนิธิสอบถาม ประมาณ 10 นาที น้องกิ๊บ ไม่มีอาการไอ และแจ้งว่าไม่เคยมีอาการเข้าข่ายในกลุ่มเสี่ยง โควิด-19 แต่อย่างใดด้านแม่ของ น.ส.กิ๊บบอกว่า ลูกสาวเคยไปพบจิตแพทย์ ตอนนี้เรียนหนังสือ และพักอยู่กับเพื่อนๆ โดยเช่าหออยู่ย่านดินแดง ส่วนสาเหตุที่แท้จริงเจ้าหน้าที่กำลังสอบสวน พร้อมระดมออกค้นหาหญิงสาวอีก 1 คน ที่ยังหาไม่เจอ คาดว่าน่าจะจมน้ำเสียชีวิตแล้ว,3 สาววัยรุ่นกระโดดแม่น้ำเจ้าพระยาจากสะพานพระราม 8 ฝั่งธนบุรี โดยมีคนช่วยได้ทัน 1 คน อีกคนเสียชีวิต และอีก 1 คนยังสูญหาย สาเหตุเบื้องต้นไม่เกี่ยวกับโรคระบาดวันที่ 4 เม.ย. ผู้สื่อข่าวรายงานว่าเจ้าหน้าที่ตำรวจได้รับแจ้งเหตุและช่วยเหลือ 1 รายที่ขึ้นมาได้ ส่วนอีก 2 รายยังไม่ทราบชะตากรรม สาววัยรุ่น 1 คนยืนยันว่าพวกเธอชักชวนกันมากระโดดสะพานเพราะมีปัญหาทางครอบครัว แม่ของเธอระบุว่าลูกสาวเคยไปพบจิตแพทย์ และกำลังเรียนหนังสือ โดยเช่าหออยู่กับเพื่อนๆ เจ้าหน้าที่กำลังสอบสวนและค้นหาหญิงสาวที่ยังสูญหาย,0.7777777777777778
5,องค์การอนามัยโลก หรือ WHO ระบุว่า หน่วยงานด้านสาธารณสุข ยังไม่สามารถชี้ได้ว่า เชื้อไข้หวัดนกสายพันธุ์ H7N9 ซึ่งเป็นสายพันธุ์ใหม่ ที่ไม่เคยพบในมนุษย์ สามารถติดต่อสู่ผู้ติดเชื้อ 3 คนในประเทศจีนได้อย่างไร โดยผู้เสียชีวิตรายแรกเป็นชายวัย 87 ปี ล้มป่วยเมื่อวันที่ 19 กุมภาพันธ์ที่ผ่านและเสียชีวิตในอีก 8 วันต่อมา รายที่ 2 เป็นชายวัย 27 ปี ล้มป่วยวันที่ 27 กุมภาพันธ์ และเสียชีวิตอีก 5 วันต่อมา ส่วนผู้ติดเชื้อรายที่ 3 เป็นหญิงวัย 35 ปีเป็นชาวเมืองอันฮุย ล้มป่วยเมื่อวันที่ 9 มีนาคมที่ผ่านมาขณะที่ ทางการฮ่องกง ไต้หวันและมาเก๊า ได้ตั้งจุดตรวจวัดอุณหภูมิ ที่สนามบินและด่านเข้าเมืองในจุดต่างๆ โดยที่ไต้หวัน ผู้ที่เดินทางกลับจากประเทศจีน และมีไข้สูง ต้องไปตรวจร่างกายที่โรงพยาบาลด้วยด้าน กรมวิทยาศาสตร์การแพทย์ของไทย เตรียมระบบการตรวจเชื้อทางห้องปฏิบัติการ สำหรับสอบสวนโรคเคลื่อนที่เร็ว ตลอด 24 ชั่วโมง ส่วนสำนักระบาดวิทยาและโรงพยาบาลทุกแห่ง เฝ้าระวังผู้ป่วยโรคทางเดินหายใจและมีอาการรุนแรง ได้แก่ โรคปอดบวม ไข้หวัดใหญ่ทุกคนอย่างต่อเนื่อง แม้ว่าขณะนี้ยังไม่พบสัญญาณผิดปกติ,"องค์การอนามัยโลก (WHO) ระบุว่า หน่วยงานด้านสาธารณสุขยังไม่สามารถชี้แจงได้ว่า เชื้อไข้หวัดนกสายพันธุ์ H7N9 ซึ่งเป็นสายพันธุ์ใหม่ สามารถติดต่อสู่ผู้ติดเชื้อ 3 คนในประเทศจีนได้อย่างไร โดยผู้เสียชีวิตรายแรกเป็นชายวัย 87 ปี ล้มป่วยเมื่อวันที่ 19 กุมภาพันธ์และเสียชีวิตในอีก 8 วันต่อมา รายที่ 2 เป็นชายวัย 27 ปี ล้มป่วยวันที่ 27 กุมภาพันธ์และเสียชีวิตอีก 5 วันต่อมา ส่วนผู้ติดเชื้อรายที่ 3 เป็นหญิงวัย 35 ปี ล้มป่วยเมื่อวันที่ 9 มีนาคมที่ผ่านมา

ทางการฮ่องกง ไต้หวัน และมาเก๊า ได้ตั้งจุดตรวจวัดอุณหภูมิที่สนามบินและด่านเข้าเมืองในจุดต่างๆ โดยที่ไต้หวัน ผู้ที่เดินทางกลับจากประเทศจีนและมีไข้สูง ต้องไปตรวจร่างกายที่โรงพยาบาลด้วย

กรมวิทยาศาสตร์การแพทย์ของไทย เตรียมระบบการตรวจเชื้อทางห้องปฏิบัติการสำหรับสอบสวนโรคเคลื่อนที่เร็ว ตลอด 24 ชั่วโมง ส่วนสำนักระบาดวิทยาและโรงพยาบาลทุกแห่ง เฝ้าระวังผู้ป่วยโรคทางเดินหายใจและมีอาการรุนแรง ได้แก่ โรคปอดบวม ไข้หวัดใหญ่ แม้ว่าขณะนี้ยังไม่พบสัญญาณผิดปกติ",0.9
6,4 ก.พ.2562 สื่อหลายสำนักรายงานตรงกันว่า วานนี้ (3 ก.พ.62)สุกรี ฮารี หัวหน้ากลุ่มมาราปาตานี ออกแถลงการณ์ความยาวประมาณ 2 นาที โดยเนื้อหาใจความคือ ไม่ยอมรับ พล.อ.อุดมชัย ธรรมสาโรรัชต์ เป็นหัวหน้าคณะพูดคุยของรัฐบาลฝ่ายไทยโดยมีการระบุอ้างอิงว่า พล.อ.อุดมชัย ไม่ได้มาหารือที่มาเลเซีย โดยมีการอ้างอิงว่า จะขอพบสุกรี เป็นการส่วนตัว ซึ่งทำให้เกิดการมองว่า รับไม่ได้กับท่าทีลักษณะนี้ แล้วมีนัยยะแอบแฝงหรือไม่ ถึงไม่คุยกับคนอื่นๆ แต่จะคุยกับนายสุกรีเพียงคนเดียวคำแถลงยังแถลงยังระบุอีกว่า จะมีการล้มโต๊ะการเจรจาสันติภาพทั้งหมด จนกว่าไทยจะเลือกตั้ง แล้วก็ได้รัฐบาลใหม่ โดยขอให้รัฐบาลใหม่เปลี่ยนตัวหัวหน้าคณะพูดคุย ซึ่งที่ว่านี้เป็นจุดยืนของกลุ่มมาราปาตานีที่มา และ,สุกรี ฮารี หัวหน้ากลุ่มมาราปาตานี ได้ออกแถลงการณ์เมื่อวันที่ 3 กุมภาพันธ์ 2562 โดยไม่ยอมรับ พล.อ.อุดมชัย ธรรมสาโรรัชต์ เป็นหัวหน้าคณะพูดคุยของรัฐบาลไทย เนื่องจากไม่ได้มีการหารือที่มาเลเซีย และมีการอ้างอิงว่าจะขอพบสุกรีเป็นการส่วนตัว ซึ่งทำให้เกิดความสงสัยว่ามีนัยยะแอบแฝงหรือไม่ นอกจากนี้ คำแถลงยังระบุว่าจะมีการล้มโต๊ะการเจรจาสันติภาพทั้งหมด จนกว่าจะมีการเลือกตั้งและตั้งรัฐบาลใหม่ โดยขอให้รัฐบาลใหม่เปลี่ยนตัวหัวหน้าคณะพูดคุย ซึ่งเป็นจุดยืนของกลุ่มมาราปาตานีที่แสดงออกมา,0.875
7,"เมื่อวันที่ 28 มกราคม 2559 ผู้สื่อข่าวรายงานว่า หลังจากที่กระแสตุ๊กตาลูกเทพกำลังมาแรง นอกจากสร้างความเชื่อมั่นกับผู้ที่นิยมแล้ว ยังสร้างความหนักใจให้กับฝ่ายความมั่นคง เพราะล่าสุดถูกนำไปซุกซ่อนยาเสพติดจนกลายเป็นข่าวดังไปถึงประเทศเมียนมา,นายโก่ โก่อู ประธานสื่อมวลชนจังหวัดเมียวดี ประเทศเมียนมา ได้สอบถามมายังผู้สื่อข่าวฝั่งจังหวัดตาก ขอรายละเอียดเกี่ยวกับเรื่องนี้ เนื่องจากสื่อโทรทัศน์ในจังหวัดเมียวดีได้เสนอข่าวนี้ด้วย โดยล่าสุดนายโก่ โก่อู ได้แจ้งมาว่าทางด่านความมั่นคงฝั่งเมียวดี ซึ่งอยู่ที่สะพานมิตรภาพไทย-เมียนมา สั่งเจ้าหน้าที่ด่านตรวจเข้มงวดเรื่องตุ๊กตาทุกชนิด ไม่เว้นแม้แต่ตุ๊กตาลูกเทพด้วย หากมีการจะนำเข้า-ออก ให้มีการนำไปเอกซเรย์ตรวจสิ่งเสพติดทุกตัว,ขณะที่ ด้านด่านชายแดนถาวรฝั่งไทย ก็มีการตรวจเข้มเช่นกัน โดยทหารหน่วยเฉพาะกิจกรมทหารราบที่ 4 ได้ตั้งโต๊ะตรวจสัมภาระแยกจากศุลกากรอีกจุดหนึ่ง แต่เบื้องต้นยังไม่พบมีการนำเข้า-ออกแต่อย่างใด,ส่วนที่สนามบินแม่สอด ผู้สื่อข่าวได้ตระเวนดูเกี่ยวกับการนำตุ๊กตาลูกเทพผ่านเข้า-ออก เบื้องต้นก็ยังไม่พบเช่นกันมีเพียงตุ๊กตากระเป๋าของเด็กเท่านั้น.",สรุปข้อความ: ในเดือนมกราคม 2559 กระแสตุ๊กตาลูกเทพกำลังมาแรง แต่สร้างความหนักใจให้กับฝ่ายความมั่นคง เนื่องจากถูกนำไปซุกซ่อนยาเสพติดจนกลายเป็นข่าวดังไปถึงประเทศเมียนมา นายโก่ โก่อู ประธานสื่อมวลชนจังหวัดเมียวดี ประเทศเมียนมา ได้สอบถามมายังผู้สื่อข่าวฝั่งจังหวัดตากเกี่ยวกับเรื่องนี้ ด่านความมั่นคงฝั่งเมียวดีได้สั่งเจ้าหน้าที่ตรวจเข้มงวดเรื่องตุ๊กตาทุกชนิด รวมถึงตุ๊กตาลูกเทพ หากมีการนำเข้า-ออก ต้องนำไปเอกซเรย์ตรวจสิ่งเสพติดทุกตัว ด้านชายแดนถาวรฝั่งไทยก็มีการตรวจเข้มเช่นกัน แต่ยังไม่พบการนำเข้า-ออกตุ๊กตาลูกเทพ ส่วนที่สนามบินแม่สอดก็ยังไม่พบตุ๊กตาลูกเทพผ่านเข้า-ออกเช่นกัน,0.8
8,นายสุรพงษ์ โตวิจักษณ์ชัยกุล รัฐมนตรีว่าการกระทรวงการต่างประเทศชี้แจง กรณีการลงนามของ พล.ท.ภราดร พัฒนถาบุตร เลขาธิการสภาความมั่นคงแห่งชาติ หรือ สมช. กับแกนนำกลุ่มบีอาร์เอ็น เมื่อวันที่ 28 กุมภาพันธ์ที่ผ่านมาว่า ไม่ใช่การยกระดับกลุ่มดังกล่าว แต่เป็นการเริ่มต้นการพูดคุยเพื่อแก้ปัญหาความรุนแรงในภาคใต้ หรือ พีซ ไดอะล็อก (peace dialouge) และไม่ใช่การเจรจา หรือ การต่อรอง ทั้งนี้ การลงนามพูดคุยสันติภาพกับกลุ่มดังกล่าว สอดคล้องกับยุทธศาสตร์ชายแดนใต้ พ.ศ. 2555-2557นายสุรพงษ์กล่าวด้วยว่า การพูดคุยเพื่อสันติภาพ ต้องดำเนินการภายใต้รัฐธรรมนูญไทย ซึ่งรัฐบาลได้ดำเนินการทุกอย่างด้วยความระมัดระวัง และสมช.พร้อมที่จะหารือกับกลุ่มอื่นๆด้วยส่วนการหารือรอบแรกระหว่าง สมช. กับกลุ่มบีอาร์เอ็น จะเริ่มในวันที่ 28 เดือนนี้ หลังจากลงนามพูดคุยสันติภาพครบ 1 เดือน ทั้งนี้ นายสุรพงษ์ยอมรับว่า ไม่มีการรับประกันได้ว่าเมื่อหารือแล้ว สถานการณ์ความรุนแรงในภาคใต้จะสงบลงหรือไม่,นายสุรพงษ์ โตวิจักษณ์ชัยกุล รัฐมนตรีว่าการกระทรวงการต่างประเทศได้ชี้แจงกรณีการลงนามของ พล.ท.ภราดร พัฒนถาบุตร เลขาธิการสภาความมั่นคงแห่งชาติ (สมช.) กับแกนนำกลุ่มบีอาร์เอ็น เมื่อวันที่ 28 กุมภาพันธ์ที่ผ่านมา ว่าไม่ใช่การยกระดับกลุ่มดังกล่าว แต่เป็นการเริ่มต้นการพูดคุยเพื่อแก้ปัญหาความรุนแรงในภาคใต้ หรือ พีซ ไดอะล็อก (peace dialouge) และไม่ใช่การเจรจาหรือการต่อรอง การลงนามพูดคุยสันติภาพกับกลุ่มดังกล่าวสอดคล้องกับยุทธศาสตร์ชายแดนใต้ พ.ศ. 2555-2557 นายสุรพงษ์กล่าวด้วยว่าการพูดคุยเพื่อสันติภาพต้องดำเนินการภายใต้รัฐธรรมนูญไทย ซึ่งรัฐบาลได้ดำเนินการทุกอย่างด้วยความระมัดระวัง และสมช.พร้อมที่จะหารือกับกลุ่มอื่นๆ ด้วย ส่วนการหารือรอบแรกระหว่าง สมช. กับกลุ่มบีอาร์เอ็น จะเริ่มในวันที่ 28 เดือนนี้ หลังจากลงนามพูดคุยสันติภาพครบ 1 เดือน ทั้งนี้ นายสุรพงษ์ยอมรับว่าไม่มีการรับประกันได้ว่าเมื่อหารือแล้ว สถานการณ์ความรุนแรงในภาคใต้จะสงบลงหรือไม่,0.0
9,เคสเด็ก 8 ขวบติดไวรัสโควิด-19 พบเดินทางไปโรงเรียน 1 วัน ทางโรงเรียนสั่งกักตัวเพื่อนยกห้อง 14 วัน แต่ยังไม่ปิดการเรียนการสอนจากกรณี มีกระแสข่าวว่า พบผู้ป่วยติดเชื้อไวรัสโคโรนา หรือ โควิด-19 เพิ่ม 2 ราย ในพื้นที่ดอนเมือง ซึ่งเป็นผู้ที่เพิ่งเดินทางกลับมาจากประเทศญี่ปุ่น ตามที่เสนอข่าวไปแล้วนั้นทั้งนี้ จากการตรวจสอบพบว่า หนึ่งในผู้ติดเชื้อ เป็นเด็กวัย 8 ขวบ ซึ่งเรียนอยู่ที่โรงเรียนแห่งหนึ่ง ย่านดอนเมือง ได้เดินทางไปโรงเรียน 1 วัน โดยจากการแถลงข่าว ของกระทรวงสาธารณสุข ระบุว่า ได้ส่งทีมสอบสวนโรค กรมควบคุมโรค ลงพื้นที่เมื่อช่วงเช้าที่ผ่านมา เพื่อดูความเสี่ยง โดยพบว่า เด็กคนดังกล่าว ได้อยู่ในห้องเรียนห้องเดียว ล่าสุดทางคุณครูและผู้ปกครอง ตัดสินใจให้นักเรียนที่อยู่ในห้องเรียนเดียวกันประมาณ 50 คน หยุดเรียน 14 วัน เพื่อเป็นการสังเกตอาการ และลดการแพร่เชื้อ ซึ่งเรามีรายชื่ออยู่ และจะได้ติดตามอาการจนครบ 14 วัน เพื่อความปลอดภัย โดยให้อยู่แต่ภายในบ้าน และยังไม่มีการประกาศปิดการเรียนการสอนแต่อย่างใด.,เคสเด็ก 8 ขวบติดเชื้อโควิด-19 หลังจากเดินทางไปโรงเรียน 1 วัน โรงเรียนสั่งกักตัวเพื่อนยกห้อง 14 วัน แต่ยังไม่ปิดการเรียนการสอน ขณะที่มีรายงานผู้ป่วยติดเชื้อเพิ่ม 2 ราย ในพื้นที่ดอนเมือง ซึ่งเป็นผู้ที่เพิ่งเดินทางกลับมาจากประเทศญี่ปุ่น หนึ่งในผู้ติดเชื้อเป็นเด็กวัย 8 ขวบ ที่เรียนอยู่ที่โรงเรียนแห่งหนึ่ง ย่านดอนเมือง ทางคุณครูและผู้ปกครองตัดสินใจให้นักเรียนที่อยู่ในห้องเรียนเดียวกันประมาณ 50 คน หยุดเรียน 14 วัน เพื่อเป็นการสังเกตอาการและลดการแพร่เชื้อ โดยให้อยู่แต่ภายในบ้าน และยังไม่มีการประกาศปิดการเรียนการสอนแต่อย่างใด.,0.0
